record - dc:cdmid,image_url,record - dc:title,record - dc:cdmfile,record - dc:cdmpath,record - dc:viewerURL,record - dc:cdmcreated,record - dc:cdmmodified,record - dc:format,record - dc:subject,record - dc:publisher,record - dc:type,record - dc:creator,record - width,record - height,record - dc:source,record - dc:language,record - dc:identifier,record - dc:date,record - dc:description,record - dc:coverage,record - dc:relation,related_to,record - illust_tech,record - dc:contributor,record - tag,record - text,record - notes,record - dc:audience
95,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=95,Who's Afraid... (front),96.jpg,/p4129coll7/image/96.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/95,2004-01-28,2004-01-28,JPG,Milk depots; Infant mortality;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005m001.jpg,[1911],Text accompanied by two photographs.  Top image shows naked infant standing in doorstoop of tenement building.  Caption title:  Who's Afraid. One of our milk depot babies for whom the heat and congestion have no terrors.  Bottom image shows malnourished infant resting on pillow.  Caption title:  Saved -- Even from this Condition -- by Proper Feeding.,New York. New York City.,front of mk1e005,mk1e005,Halftone photomechanical prints,Bernadette CARDONA,,"""WHO'S AFRAID""<br><br> One of our milk depot babies for whom the heat and congestion have no terrors <br><br> 1005 LITTLE WHITE HEARSES <br><br> PASSED THROUGHT THE STREETS OF NEW YORK CITY <br><br> IN TWO HOT WEEKS LAST SUMMER <br><br> 16,000 FUNERALS OF BABIES OCCURED DURING THE YEAR <br><br> <br><br> Prominent Physicians say that <br><br> Fully one-half this mortality, or <br><br> 8000 DEATHS COULD HAVE BEEN PREVENTED <br><br> By work such as is done in the Infants' Milk Depots of <br><br> THE NEW YORK MILK COMMITTEE <br><br> THE COMMITTE NOW WISHES TO INCREASE THE NUMBER OF ITS <br><br> DEPOTS AND TO ASSIST IN A GREATER DEGREE IN CUTTING <br><br> DOWN THIS FRIGHTFUL INFANT MORTALITY RATE <br><br> <br><br> YOUR HELP IS ESSENTIAL IN CARRYING OUT THIS WORK <br><br> <br><br> SAVED- EVEN FROM THIS CONDITION - BY PROPER FEEDING",,
96,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=96,Who's Afraid... (back),97.jpg,/p4129coll7/image/97.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/96,2004-02-06,2004-02-06,JPG,Milk hygiene; Milk depots; Funeral rites & ceremonies,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005m002.jpg,[1911],"Text accompanied by three photographs.  Top center image shows milk can standing beside market vegetable stand.  Caption title ""Conditions that Kill Babies.""  Bottom left image shows education session in progress at milk station. Caption title:  The Milk Committee at Work <br> One of our mothers' classes.  Bottom right shows nurses dispensing milk at station.  Caption title:  The Milk Committee at Work <br> Pure milk at our Italian depot.",New York. New York City.,back of mk1e005,mk1e005,Halftone photomechanical prints,Bernadette CARDONA,,"[Photograph]<br><br>  ""CONDITIONS THAT KILL BABIES"" <br><br>  A dirty can, from which milk, uniced, was sold last summer on an East Side <br><br>  street, amid a jumble of rank-scented vegetables. <br><br>  THE NEW YORK MILK COMMITTEE <br><br>  has demonstrated in its infants' milk depots that <br><br>  BABIES CAN BE SAVED <br><br>  AT A COST OF ABOUT FIFTY DOLLARS A YEAR FOR EACH BABY <br><br>  By enabling their tired and overworked mothers to feed them at the breast. <br><br>  By distributing pure milk for babies who must be artificially fed; and <br><br>  By having doctors instruct mothers who are ignorant but eager to <br><br>  learn, and by having nurses visit these mothers in their homes. <br><br>  It is estimated that <br><br>  THE AVERAGE COST OF BURYING A BABY IS $50 <br><br>  THUS THE $400,000 WHICH IT COSTS TO BURY THE 8000 BABIES WHO DIE NEEDLESSLY IN <br><br>  N. Y. CITY EACH YEAR WOULD SAVE THESE BABIES. <br><br>  WE PROPOSE TO ESTABLISH DEPOTS WHICH WILL SAVE BABIES FOR WHAT <BR><br>  IT NOW COSTS TO BURY THEM. <br><br>  WILL YOU HELP?<br><br>  Send check to MARSHALL L. WARRIN, Treasurer <br><br>  THE NEW YORK MILK COMMITTEE, 105 East 22nd Street, N. Y. City <br><br>  [2 photographs] <br><br>  ""THE MILK COMMITTEE AT WORK"" <br><br>  One of our mothers' classes <br><br><br><br> Pure milk at our Italian depot <br><br><br>",,
97,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=97,Who's Afraid...,98.cpd,/p4129coll7/image/98.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/97,2004-01-28,2004-01-28,JPG,Milk hygiene; Infant mortality;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005,[1911],Fundraising circular printed on two sides promoting the work of the New York Milk Committee and soliciting donations for milk stations.,,,,Halftone photomechanical prints,,,,,
98,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=98,Saving Through Education (1),99.jpg,/p4129coll7/image/99.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/98,2004-02-17,2004-02-17,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015m001.jpg,[1911],"Recommended diet for 18-24 month old babies and for 2-3 year olds. Includes examples of breakfast, lunch and dinner menus. Description of proper diet for infants printed in two columns, by age, ""From 18th to 24th Month"" on left, ""Meat After the Second Year"" on right; each column includes nutrition recommendations for caretakers from publishers; bibliographic references to ""Efficient Citizenship No. 453"" at top, which gives nutrition information to infants 12-18 months; caption ""August Days Need Not be Fatal"" at bottom; contact information for New York Milk Committee at bottom.",New York. New York City.,front of mk1e015,mk1e015,Halftone photomechanical prints,Bernadette CARDONA,,,,
99,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=99,Saving Through Education (2),100.jpg,/p4129coll7/image/100.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/99,2004-02-17,2004-02-17,JPG,Infants; Poetry;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,,,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015m002.jpg,[1911],"Postcard with two thumbnail photos (one of gaunt, unhappy baby; one of plump, happy baby). Includes brief poetic verse entitled ""A Story.""  Contact information for New York Milk Committee at bottom.",New York. New York City.,back of mk1e015,mk1e015,Halftone photomechanical prints,Bernadette CARDONA,,STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>,,
100,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=100,Saving Through Education,101.cpd,/p4129coll7/image/101.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/100,2004-02-11,2004-02-11,JPG,Infants; Nutrition; Food; Menus,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015,[1911],Postcard printed on sides promoting healthy diet for infants and children aged 18 months to three years.,,,,Halftone photomechanical prints,,,,,
102,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=102,How Many Babies Did Die? (2),103.jpg,/p4129coll7/image/103.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/102,2004-02-10,2004-02-10,JPG,Child rearing; Children's clothing & dress;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014m002.jpg,[1911],"Postcard; Caption title: ""Comfort vs. looks : is your baby happy in hot weather? if not--you're to blame""; drawings of happy undressed baby and unhappy dresssed baby; instructions on how to dress baby for warm weather; caption at bottom: ""From Chicago Health Bulletin""; caption: ""New York Milk Committee"".",New York. New York City.,back of mk1e014,mk1e014,Line photoengravings;,Jonathan Frater,,,,
103,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=103,How Many Babies Did Die? (1),104.jpg,/p4129coll7/image/104.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/103,2004-02-10,2004-02-10,JPG,Infant mortality; Nutrition; Stats; Milk; Milk hygiene;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014m001.jpg,[1911],"Caption title; statistical analysis of cities of varying sizes and infant mortality rates; cities are organized by mortality statistics; Montclair, N.J. is used as the basis for comparison; contact information for New York Milk Committee at bottom.",New York. New York City.,front of mk1e014,mk1e014,,Jonathan Frater,,,,"parents, physicians, politicians, city planners"
104,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=104,How Many Babies Did Die?,105.cpd,/p4129coll7/image/105.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/104,2004-02-10,2004-02-10,JPG,Infant mortality; Milk; Children's clothing & dress,The New York Academy of Medicine,Postcards,New York Milk Committee.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014,[1911],Postcard printed on two sides providing instructions on infant care during the summer months and presenting mortality statistics for infants deaths related to impure milk supply,,,,Line photoengravings,,,,,
105,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=105,Are Clean Milk Producers Benefited?,106.jpg,/p4129coll7/image/106.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/105,2004-02-10,2004-02-10,JPG,Milk hygiene; Dairying;,The New York Academy of Medicine,Leaflets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e004m001.jpg,[191-],"Leaflet presenting grading system for milk quality; center has design in newsprint style with excerpt from ""The Milk Reporter""; caption: ""New York Milk Committee"" at center bottom.",New York. New York City.,,,,Jonathan Frater,,,,
106,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=106,If You Knew (1),107.jpg,/p4129coll7/image/107.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/106,2004-02-11,2004-02-11,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m001.jpg,[1911],Front section of fundraising form asking for support of the New York Milk Committee's work. One healthy baby photograph in medallion and one photograph ofa weighing station and doctor advising mothers.,New York. New York City.,outside face 1 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,,
107,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=107,If You Knew (2),108.jpg,/p4129coll7/image/108.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/107,2004-02-11,2004-02-11,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m002.jpg,[1911],"Inside left face of fundraising form describing the work of the Milk Committee with photograph of a healthy, plump baby.",New York. New York City.,inside face 1 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,"1005 little white hearses passed through the streets of New York City in two weeks last summer. One-eighth of the 123,433 little ones born during the year, (equalling the population of New Haven, Conn.) died under twelve months.<br> In the same squalid, poverty-smitten and congested districts where most of these deaths occured the Milk Committee maintained 7 in- fants' milk depots. Pure Milk was distributed on ice and the mothers taught how to care for it. Doctors at weekly classes taught the mothers how to feed their babies. Trained nurses visited their homes and taught them how to be clean and healthy. The babies of these mothers gained steadily in spite of the heat, poverty and congestion. Smiles and dimples came into their pinched faces; sleep came to the <br> tired women who watched over them. Sickness was prevented and <br>lives were saved because the mothers were taught and because pure milk and a few essentials were provided at low cost.",,
108,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=108,If You Knew (3),109.jpg,/p4129coll7/image/109.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/108,2004-02-11,2004-02-11,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m003.jpg,[1911],"Pledge form on the right inside face of the circular stating that the cost of a trained nurse is $900, the annual cost per infant is $35, and the cost of a depot feeding 75 babies daily is $2500.",New York. New York City.,inside face 2 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,,
109,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=109,If You Knew (4),110.jpg,/p4129coll7/image/110.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/109,2004-02-11,2004-02-11,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m004.jpg,[1911],Back face of the fundraising circular relating a success story told by a visiting nurse.,New York. New York City.,back of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,"Some of the Committee' friends may be interested in the history of baby Carmina. We learned about her through a liitle girl who came to us and said her mother was sick and desired help. I went home with her and found the sick woman on a cot in the corner of a dark, ill ven-tilated room, bare of all furniture. She was weak, discouraged, and unwilling to talk -- a picture of a nervous break-down. The baby was crying and moaning. The husband had been out of work for a long time and the family income was $5 weekly which the oldest girl earned. One child had already died of intestinal trouble and this baby was going fast.<br> It was so easy to care for the mother, to modify the milk and get the baby started right, but it meant so much for that family. Later the mother came to our classes. Her complete ignor- ance about herself and her baby was startling, but we taught her easily as she was so eager to learn. I wish you could see the baby now. It weighs 14 pounds at 5 months, and is a dear.  You would hardly know the mother; she is not a healthy woman yet but as all worry about her child has been removed she has confidence and strength again to live. Her face always wears a happy smile when she comes to see us.",,
110,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=110,If You Knew,111.cpd,/p4129coll7/image/111.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/110,2004-02-10,2004-02-10,JPG,Milk hygiene; Infant mortality; Fund raising,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006,[1911],Fund raising circular promoting the Milk Committee's work and asking for support.,,,,,,,,,
111,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=111,Special Bulletin (1),112.jpg,/p4129coll7/image/112.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/111,2004-02-11,2004-02-11,JPG,Infant mortality; Stats; Cities & towns;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e045m001.jpg,1916,"Errata to previously published reports of the New York Milk Committee. Includes table of corrected infant mortality data for  the cities of Indianapolis, Passaic, and Perth Amboy between 1906 and 1916.",New York. New York City.,Front of mk1e045,mk1e045,,Bernadette CARDONA,,,,
112,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=112,Special Bulletin (2),113.jpg,/p4129coll7/image/113.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/112,2004-02-11,2004-02-11,JPG,Infant mortality; Stats; Cities & towns;,The New York Academy of Medicine,,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e045m002.jpg,1916,"Back of the errata report issued by the New York Milk Committee in 1916. Includes quotes from the Health Officers of the cities of Indianapolis, Passaic, and Perth Amboy correcting past errors.",New York. New York City.,back of mk1e045,mk1e045,,Bernadette CARDONA,,"In calling attention to these errors the health officials wrote as follows:<br> <br>The Health Officer of Indianapolis: <br> ""In the record which we sent you on January 15th, the <br> still births were included in the deaths under one year.""<br><br> The Health Officer of Passaic: <br><br> ""The figures transmitted to your Committee were the same <br>received from the Registrar, at which time I thought correct. But <br> after receiving your table of Infant Mortalities of the different<br> cities reported to your office, this office with the idea of discov-<br>ering the real cause of our marked increase, checked up the in-<br>fant deaths under one year and after completing same found that <br> an error had been made, both in the number of births reported<br> and also in the number of death under one year.""<br><br> The Secretary-Board of Health, Perth Amboy:<br><br> ""We misconceived the meaning of the term  'living births', and deducted from the living births (exclusive of still births) such deaths as had occured of infants under one year of age.""<br><br> The monthly bulletins for the current year are coming in <br>promptly from an increased number of cities - and their mortalit<br> reports indicate that 1916 will show a substantial decrease over <br> previous years in most instances.<br> New York Milk Committee",,
115,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=115,Special Bulletin,116.cpd,/p4129coll7/image/116.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/115,2004-02-10,2004-02-10,JPG,Infant mortality; Stats; Cities & towns,The New York Academy of Medicine,Circulars,New York Milk Committee.,16,21,,English,mk1e045,1916,"Errata for published reports of infant mortality in the cities of Indianapolis, Passaic, and Perth Amboy.",,,,,,,,,
116,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=116,Accomplishments (1),117.jpg,/p4129coll7/image/117.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/116,2004-02-11,2004-02-11,JPG,Progress; Infants,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m001.jpg,[1912],Front page of brochure providing progress report on the work the New York Milk Committee from January to July of 1912.  Illustrated with photo montage of infants.,New York. New York City.,front of mk1e046,mk1e046,Halftone photomechanical prints,Constance Malpas,,,,
117,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=117,Accomplishments (2),118.jpg,/p4129coll7/image/118.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/117,2004-02-11,2004-02-11,JPG,Education; Health & welfare; Infants; Milk hygiene; Dairy products industry; Public service organizations;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,20,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m002.jpg,[1912],Text details achievements of New York Milk Committee in 1911.,New York. New York City.,inside faces of mk1e046,mk1e046,,Constance Malpas,,"The New York Milk Committee<br>   has<br>   Prepared and published the Fifth Annual Report of the Committee for 1911, giving the results of a successful two years' experiment to prove that milk equal to certified can be produced by the ordinary farmer from healthy herds and delivered to the consumer in New York at the price usually charged for bottled milk of uncertain quality. <br><br>   Prepared and distributed 2,000 copies of a special report ""Infant Mortality and Milk Stations,"" furnishing a working basis to health officers and civic organizations undertaking the establishment of milk stations and baby-saving campaigns in their cities.   <br><br>   Actively co-operated with the Health Department in bringing about an efficient organization of the work in 55 municipal milk stations established as the result of the campaign in 1911.   <br><br>   Brought about through the co-operation of the Health Department and various social organization interested in baby-saving the formation ofa  Babies'Welfare Association.  This Association represents 150 agencies and has for its object the stadardization of methods and the proper distribution of work so as to eliminate duplication and over-lapping; to serve as a clearing house for information relating to the work of reducing infant mortality.   <br><br>   Provided the Babies' Welfare Association with an Executive Secretary and borne the expense of preparing and printing educational literature for distribution among tenement housing mothers.  Already 300,000 peiceds of literature hve been distributed in the English, Italian and Yiddish languages.  Although our vigorous campaign last year brought about the lowest baby death rate in the history of New York City there is every indication that the good record of last year will be not only maintained but exceeded.   <br><br>   Carried on throught its Committee on Womens' Organizations an active campaign among women's clubs, civic organizations and churches to demand a strict enforcement by the Health Department of the present rules and regulations relating to the production and sale of milk.   <br><br>   Conducted an exhaustive investigation as to the quality of milk served to patrongs of hotels, restaurants, lunch rooms and soda fountains in the business and shopping sections of Manhattan and Brooklyn.  The results of this investigation have been forwarded to the Board of Health and follow-up work already begun to insure a better and more wholesome milk supply to patrons of these places.   <br><br>   Appointed a Special Committe to study the present methods employed by the State to stamp out tuberculosis among cattle, and to formulate plans to obtain a more adequate State cotnrol of this disease.   <br><br>   Prepared comprehensive educational exhibits for the International Congress of Hygiene and Demography and for the New York State Fair.   <br><br>   Completed the first six months of its investigation of deaths for congenital diseases and its experiment to determine the balue of educating expectant mothers as a means of reducing infant mortality from these diseases.  822 mothers have already been educated in the prenatal care of their babies and themselves by a competent staff of nurses and doctors.  The results already obtained indicate that the death rate among babies from congenital disease can be reduced fully 50% and a higher vitality assured to babies if the tenement mothers are given proper instruction in mothercraft.",,
118,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=118,Accomplishments (3),119.jpg,/p4129coll7/image/119.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/118,2004-02-11,2004-02-11,JPG,Milk; Standardization;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m003.jpg,[1912],Back of brochure detailing accomplishments of the New York Milk Committee in 1912.  Text describes public education campaign using report prepared by commission of experts convened by the Milk Committee and distributed nationwide by the U.S. government.,New York. New York City.,back of mk1e046,mk1e046,,Constance Malpas,,"The Commission appointed by the New York Milk Committee in March, 1911, and composed of seventeen milk experts from different parts of the United States completed its first report April, 1912.  The United States Government has pritned 75,000 copies of this reprot which have been distributed to the mayor, health officer and civic organizations in every American municipality.  The Committee feels that this has been one of the most important pieces of work ever performed by a civic organization in that it will seve as a basis for raising the standard of milk suppoy of 20,000,000 babies in the United States.   <br><br>   New York Milk Committee   <br>   105 East 22d Street   <br>   Stephen G. Williams...Chairman<br>   Thomas S. McLane, Treasurer   Paul E. Taylor - Secretary.",,
119,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=119,Accomplishments,120.cpd,/p4129coll7/image/120.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/119,2004-02-11,2004-02-11,JPG,Progress; Milk; Standardization; Education; Infants; Mothers; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,nk1e046,[1912],A progress reports issued by the New York Milk Committee detailing accomplishments achieved in the first six months of 1912. Four page brochure printed on one sheet.,,,,Halftone photomechanical prints,,,,,
120,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=120,While There's Care There's Hope (1),121.jpg,/p4129coll7/image/121.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/120,2004-02-17,2004-02-17,JPG,Infant mortality; Child rearing; Nutrition; Stats; Milk;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e008m001.jpg,[1911],"Postcard; caption title; quote from ""Dr. S. Josephine Baker, Bureau of Child Hygiene""; quote from ""Boston Milk & Baby Association"" dated March, 1911; contact information for New York MIlk Committee, bottom; illustration of baby in left column, inset; divider down center of card; right portion blank; stamp square upper right corner.",New York. New York City.,front of mk1e008,mk1e008,Line photoengravings;,Jonathan Frater,,,1 of 2,"caretakers, parents, physicians"
121,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=121,While There's Care There's Hope (2),122.jpg,/p4129coll7/image/122.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/121,2004-02-17,2004-02-17,JPG,Infant mortality; Summer; Nutrition; Weather; Health; Municipal government; Stats;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e008m002.jpg,[1911],"Caption title; quote from N.Y. herald, Aug. 2, 1911: ""Fewer babies Die in July""; quote from New York American, August 2, 1911: ""731 Babies saved in July""; accounts of newspaper articles regarding lowering of infant mortality rate for summer months.",New York. New York City.,back of mk1e008,mk1e008,,Jonathan Frater,,,2 of 2,"Parents, physicians"
122,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=122,A 6% Dividend (1),123.jpg,/p4129coll7/image/123.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/122,2004-02-17,2004-02-17,JPG,Infant Mortality; Milk;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e003m001.jpg,[1913],"Leaflet cover; ""A 6% Dividend Paid in 1912""; large print, center of page; purple N.Y. Milk Committee stamp w/address in upper center of page; name written in longhand pencil, upper left: (""Wallace""?)",New York. New York City.,front of mk1e003,mk1e003,,Jonathan Frater,,,1 of 3,
123,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=123,A 6% Dividend (2),124.jpg,/p4129coll7/image/124.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/123,2004-02-17,2004-02-17,JPG,Infant mortality; Stats;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,32,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e003m002.jpg,[1913],"Single page with statistics and graph; right side of page taken up by illustration of mart showing infant mortality statistics from 1904 to 1913, turned on long axis; left side of page consists of ""Infant Death rate"" statistics 1911-1913; contact information for Thomas S. McLane, Treasurer for the New York Milk Committee at bottom.",New York. New York City.,inside faces 1 and 2 of mk1e003,mk1e003,Halftone photomechanical prints,Jonathan Frater,,,2 of 3,
